"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Chan B.J.; Huang M.; Cheng J.-H.; Chen C.-T.; Huang H.-H.","Chan, Brian J. (59507159500); Huang, MaoXun (59252667000); Cheng, Jui-Hung (59506301400); Chen, Chao-Ting (59332726700); Huang, Hen-Hsen (56138799600)","59507159500; 59252667000; 59506301400; 59332726700; 56138799600","Efficient Beam Search for LLMs Using Trie-Based Decoding","2025","EMNLP 2025 - 2025 Conference on Empirical Methods in Natural Language Processing, Proceedings of the Conference","","","","14795","14807","2","10.18653/v1/2025.emnlp-main.748","https://www.scopus.com/pages/publications/105040194289?origin=resultslist","Department of Computer Science, National Chengchi University, Taiwan; Department of Computer Science, Cornell University, United States; Institute of Information Science, Academia Sinica, Taiwan","Chan B.J., Department of Computer Science, National Chengchi University, Taiwan; Huang M., Department of Computer Science, Cornell University, United States; Cheng J.-H., Department of Computer Science, National Chengchi University, Taiwan; Chen C.-T., Department of Computer Science, National Chengchi University, Taiwan; Huang H.-H., Institute of Information Science, Academia Sinica, Taiwan","This work presents a novel trie (prefix-tree)based parallel decoding method that addresses the memory inefficiency of batch-based beam search. By sharing a single KV cache across beams with common prefixes, our approach dramatically reduces memory usage and enables efficient decoding. We evaluated our method across three attention architectures, Multi-Head Attention (Phi-3.5-mini-instruct), Grouped Query Attention (Llama-3.18B-Instruct), and Sliding Window Attention (Mistral-Small-24B-Instruct-2501), using CNN/DailyMail for abstractive summarization and HumanEval for code generation. Our experiments demonstrate substantial memory savings (4-8×) and up to 2.4× faster decoding, without compromising generation quality. These results highlight our method's suitability for memory-constrained environments and large-scale deployments. © 2025 Association for Computational Linguistics.","","Cache memory; Computational linguistics; Memory architecture; Beam search; Codegeneration; Decoding methods; Fast decoding; Memory savings; Memory usage; Parallel decoding; Prefix trees; Sliding Window; Tree-based; Decoding","","Christodoulopoulos C.; Chakraborty T.; Rose C.; Peng V.","Association for Computational Linguistics (ACL)","","979-889176332-6","","","English","EMNLP - Conf. Empir. Methods Nat. Lang. Process., Proc. Conf.","Conference paper","Final","","Scopus","2-s2.0-105040194289"
"Feng C.; Yan B.","Feng, Chengzhe (58976314500); Yan, Binyu (45961752600)","58976314500; 45961752600","Post-Training Performance Boosting Method for Code Large Language Models via Model Merging","2025","Lecture Notes in Computer Science","15864 LNAI","","","354","365","0","10.1007/978-981-95-0014-7_30","https://www.scopus.com/pages/publications/105027748707?origin=resultslist","College of Computer Science, Sichuan University, Chengdu, 610065, China","Feng C., College of Computer Science, Sichuan University, Chengdu, 610065, China; Yan B., College of Computer Science, Sichuan University, Chengdu, 610065, China","Code Large Language Models (LLMs) have demonstrated considerable capabilities in software engineering. One major approach to utilizing code LLMs is through Supervised Fine-Tuning (SFT), which enhances the model's capabilities for specific tasks, such as improving its adherence to user instructions for code generation. However, it has been observed that SFT can cause the degradation of certain fundamental capabilities of general LLMs due to catastrophic forgetting. In this paper, we propose Bayesian Auto Merging (BAM), a novel method that leverages model merging and Bayesian optimization to mitigate this degradation by enhancing the performance of code LLMs post-SFT. We first demonstrate that SFT can lead to a decline in the coding and instruction-following capabilities of code LLMs. To address this, BAM merges pre-SFT and post-SFT models, using the pre-SFT model to restore the capabilities of the post-SFT model. Model merging, however, heavily depends on the merging parameters, such as the weight parameter that defines the mix ratio between models. Identifying the optimal configuration for these parameters is both labor-intensive and complex. To overcome this challenge, BAM utilizes Bayesian optimization to automatically search for the optimal configuration of these parameters. Empirical evaluations on the HumanEval and MBPP datasets with Qwen2.5-Coder and DeepSeek-Coder models show that BAM consistently improves performance(e.g., enhancing the pass@1 metric by an average of 1.6% on HumanEval). All the experimental code and instructions for reproducing the essential results can be found at https://github.com/Chengzhe-Feng/BAM. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2025.","Bayesian Optimization; Code Large Language Models; Model Merging","Computational efficiency; Decision making; Distributed computer systems; Dynamic routing algorithms; Intelligent agents; Learning algorithms; Motion planning; Multi agent systems; Reinforcement learning; Trucks; Vehicle routing; Ant colonies; Collaborative scheduling; Colony optimization; Dynamic demand; Multi agent; Multi-vehicles; Q-learning; Q-learning algorithms; Reinforcement learnings; Vehicle Routing Problems; Ant colony optimization","B. Yan; College of Computer Science, Sichuan University, Chengdu, 610065, China; email: yanby@scu.edu.cn","Huang D.-S.; Zhang C.; Zhang Q.; Pan Y.","Springer Science and Business Media Deutschland GmbH","03029743","978-981950013-0","","","English","Lect. Notes Comput. Sci.","Conference paper","Final","","Scopus","2-s2.0-105027748707"
"Weyssow M.; Kamanda A.; Zhou X.; Sahraoui H.","Weyssow, Martin (57218143928); Kamanda, Aton (58965990400); Zhou, Xin (57770923400); Sahraoui, Houari (57196894039)","57218143928; 58965990400; 57770923400; 57196894039","CodeUltraFeedback: An LLM-as-a-Judge Dataset for Aligning Large Language Models to Coding Preferences","2026","ACM Transactions on Software Engineering and Methodology","35","3","68","","","3","10.1145/3736407","https://www.scopus.com/pages/publications/105031612710?origin=resultslist","Université de Montréal, DIRO, Montreal, QC, Canada; Singapore Management University, Singapore, Singapore","Weyssow M., Université de Montréal, DIRO, Montreal, QC, Canada; Kamanda A., Université de Montréal, DIRO, Montreal, QC, Canada; Zhou X., Singapore Management University, Singapore, Singapore; Sahraoui H., Université de Montréal, DIRO, Montreal, QC, Canada","Evaluating the alignment of large language models (LLMs) with user-defined coding preferences is a challenging endeavor that requires a deep assessment of LLMs’ outputs. Existing methods and benchmarks rely primarily on automated metrics and static analysis tools, which often fail to capture the nuances of user instructions and LLM outputs. To address this gap, we introduce the LLM-as-a-Judge evaluation framework and present CodeUltraFeedback, a comprehensive dataset for assessing and improving LLM alignment with coding preferences. CodeUltraFeedback consists of 10,000 coding instructions, each annotated with four responses generated from a diverse pool of 14 LLMs. These responses are annotated using GPT-3.5 as a judge, with both ranking-based scores and detailed textual feedback across five distinct coding preferences. Our analysis reveals that responses from GPT-3.5 and GPT-4 are consistently rated higher than those from open-weight models, underscoring substantial alignment gaps between closed- and open-weight LLMs. In turn, we explore the usage of CodeUltraFeedback as feedback data to fine-tune and align CodeLlama-7B-Instruct using supervised fine-tuning (SFT) and reinforcement learning from AI feedback (RLAIF) with direct preference optimization (DPO). The resulting aligned model achieves an average alignment improvement of 22.7% and 29.7% when evaluated with GPT-3.5 and GPT-4 judges, respectively. Notably, our aligned CodeLlama-7B-Instruct surpasses much larger models, such as CodeLlama-13B and 34B, in alignment with coding preferences. Despite not being explicitly trained for functional correctness, it also achieves a 10.5% and 26.6% relative improvement in Pass@1 and Pass@10 on the HumanEval+ benchmark. Our contributions demonstrate the practical value of preference tuning in code generation and set the stage for further progress in model alignment and RLAIF for automated software engineering. © 2026 Copyright held by the owner/author(s).","automated software engineering; code generation; direct preference optimization; Large language models; LLM-as-a-Judge; reinforcement learning from AI feedback","Alignment; Artificial intelligence; Codes (symbols); Computer programming languages; Feedback; Large datasets; Software engineering; Tuning; Automated software engineering; Codegeneration; Direct preference optimization; Language model; Large language model; Large language model-as-a-judge; Preference optimizations; Reinforcement learning from AI feedback; Reinforcement learnings; Automation","M. Weyssow; Université de Montréal, DIRO, Montreal, Canada; email: mweyssow@smu.edu.sg","","Association for Computing Machinery","1049331X","","ATSME","","English","ACM Trans. Software Eng. Methodol.","Article","Final","","Scopus","2-s2.0-105031612710"
"Syahrin Sya'bani M.R.; Richasdy D.; Kusumo D.S.","Syahrin Sya'bani, Muhamad Raihan (60171646800); Richasdy, Donni (57219015705); Kusumo, Dana Sulistyo (55345929100)","60171646800; 57219015705; 55345929100","Implementation of System Code Generation Based on Large Language Model Fine-tune with QLoRA","2025","2025 International Conference on Information and Communication Technology, ICoICT 2025","","","","","","0","10.1109/ICoICT66265.2025.11193032","https://www.scopus.com/pages/publications/105020929284?origin=resultslist","Telkom University, School of Computing, Bandung, Indonesia","Syahrin Sya'bani M.R., Telkom University, School of Computing, Bandung, Indonesia; Richasdy D., Telkom University, School of Computing, Bandung, Indonesia; Kusumo D.S., Telkom University, School of Computing, Bandung, Indonesia","This study aims to improve code generation performance by applying parameter-efficient fine-tuning using Quantized Low-Rank Adaptation (QLoRA). Currently, large language models (LLMs) in code generation continue to face deployment challenges in low-resource environments, particularly due to high computational demands. The core problem addressed in this study is the inefficiency and limited adaptability of pre-trained models in producing correct code under constrained resource conditions, which results in decreased output quality and restricts accessibility for low-resource users. While previous approaches have employed full fine-tuning on large-scale datasets to mitigate these issues - yielding improvements in generalization - they remain hindered by substantial memory usage and computational cost. This study analyzes a compact fine-tuning pipeline utilizing QLoRA, applied to the Qwen2.5-Coder-0.5B-Instruct model, to address these constraints and improve generation accuracy with minimal resource consumption. The proposed system was fine-tuned using two benchmark datasets - CodeExercise-Python27k and Tested-22k-Python-Alpaca - and demonstrated performance improvements of up to 7.3% on HumanEval and 4.3% on HumanEval+ in pass@1 metrics, compared to the base model. These findings confirm that fine-tuning with specific datasets, with lightweight methods like QLoRA, significantly enhances the effectiveness of compact LLMs in code generation, contributing to advancements in software engineering, AI-assisted learning, and low-resource-constrained development platforms. © 2025 IEEE.","Code Generation; Fine-Tuning; HumanEval; Large Language Models; QLoRA","Benchmarking; Computer software; High level languages; Information management; Large datasets; Python; Tuning; Codegeneration; Computational demands; Fine tuning; Humaneval; Language model; Large language model; Performance; Quantized low-rank adaptation; Resources environments; System codes; Codes (symbols)","M.R. Syahrin Sya'bani; Telkom University, School of Computing, Bandung, Indonesia; email: raihansyahrin@student.telkomuniversity.ac.id","","Institute of Electrical and Electronics Engineers Inc.","","979-833150323-9","","","English","Int. Conf. Inf. Commun. Technol., ICoICT","Conference paper","Final","","Scopus","2-s2.0-105020929284"
"Li M.; Mishra A.; Mujumdar U.","Li, Mingda (58811725300); Mishra, Abhijit (56349872900); Mujumdar, Utkarsh (59332198100)","58811725300; 56349872900; 59332198100","Bridging the Language Gap: Enhancing Multilingual Prompt-Based Code Generation in LLMs via Zero-Shot Cross-Lingual Transfer","2025","Proceedings of the International Joint Conference on Neural Networks","","","","","","0","10.1109/IJCNN64981.2025.11227991","https://www.scopus.com/pages/publications/105023982425?origin=resultslist","Department of Statistics and Data Science, Yale University, New Haven, United States; School of Information, University of Texas at Austin, Austin, United States","Li M., Department of Statistics and Data Science, Yale University, New Haven, United States, School of Information, University of Texas at Austin, Austin, United States; Mishra A., School of Information, University of Texas at Austin, Austin, United States; Mujumdar U., School of Information, University of Texas at Austin, Austin, United States","The use of Large Language Models (LLMs) for program code generation has gained substantial attention, but their biases and limitations with non-English prompts challenge global inclusivity. This paper investigates the complexities of multilingual prompt-based code generation. Our evaluations of LLMs, including CODELLAMA and CODEGEMMA, reveal significant disparities in code quality for non-English prompts; we also demonstrate the inadequacy of simple approaches like prompt translation, bootstrapped data augmentation, and finetuning. To address this, we propose a zero-shot cross-lingual approach using a neural projection technique, integrating a cross-lingual encoder like LASER to map multilingual embeddings from it into the LLM's token space. This method requires training only on English data and scales effectively to other languages. Results on a translated and quality-checked MBPP dataset show substantial improvements in code quality. This research promotes a more inclusive code generation landscape by empowering LLMs with multilingual capabilities to support the diverse linguistic spectrum in programming. © 2025 IEEE.","Code Generation; Machine Translation; Multilingual Artificial Intelligence; Transformer","","M. Li; Department of Statistics and Data Science, Yale University, New Haven, United States; email: mingdali@utexas.edu; A. Mishra; School of Information, University of Texas at Austin, Austin, United States; email: abhijitmishra@utexas.edu","","Institute of Electrical and Electronics Engineers Inc.","21614393","979-833151042-8","85OFA","","English","Proc Int Jt Conf Neural Networks","Conference paper","Final","","Scopus","2-s2.0-105023982425"
"Li J.; Rabbi F.; Cheng C.; Sangalay A.; Tian Y.; Yang J.","Li, Junjie (57222811541); Rabbi, Fazle (57062726300); Cheng, Cheng (57423758000); Sangalay, Aseem (57423645800); Tian, Yuan (55204744700); Yang, Jinqiu (59738495200)","57222811541; 57062726300; 57423758000; 57423645800; 55204744700; 59738495200","An exploratory study on fine-tuning large language models for secure code generation","2026","Empirical Software Engineering","31","4","81","","","2","10.1007/s10664-026-10803-9","https://www.scopus.com/pages/publications/105030611538?origin=resultslist","Concordia University, QC, Canada; Delhi Technological University, Delhi, India; Queen’s University, ON, Canada","Li J., Concordia University, QC, Canada; Rabbi F., Concordia University, QC, Canada; Cheng C., Concordia University, QC, Canada; Sangalay A., Delhi Technological University, Delhi, India; Tian Y., Queen’s University, ON, Canada; Yang J., Concordia University, QC, Canada","AI-powered coding assistants such as GitHub’s Copilot and OpenAI’s ChatGPT have achieved notable success in automating code generation. However, these tools rely on pre-trained Large Language Models (LLMs) that are typically trained on human-written code sourced from open-source project hosting sites like GitHub, which often contains inherent security vulnerabilities. These vulnerabilities may then be mirrored in the code generated by these LLMs, a critical risk revealed and highlighted by recent empirical studies. In this work, we present an exploratory study on whether fine-tuning pre-trained LLMs on datasets of vulnerability-fixing commits can promote secure code generation. We explored full fine-tuning and two parameter-efficient fine-tuning techniques (LoRA and IA3) on four pre-trained LLMs for code generation. We crawled a fine-tuning dataset (14,622 C/C++ files) for secure code generation by collecting code fixes of confirmed vulnerabilities from open-source repositories. Our evaluation dataset comprises 52 vulnerability scenarios designed to cover the top most dangerous C/C++ Common Weakness Enumerations (CWEs). Each scenario is a prompt that may induce LLMs to generate vulnerable code. Our exploration reveals that fine-tuning LLMs using PEFT techniques can enhance secure code generation. We observe maximum improvements in security of 6.4% in C language and 5.0% in C++ language. In addition, we compared between the fine-tuning approaches and the prompt-based approaches. The LoRA-tuned models outperform the prompt-based approaches in secure code generation. We further experimented with fine-tuning LLMs using different versions of the collected secure code dataset (file, block, function, and line). We found that fine-tuning with function-level and block-level datasets achieves the best secure code generation performance, compared to the alternatives (file-level and line-level). Finally, our experiment shows that the LLMs fine-tuned for secure code generation do not have performance degradation in terms of generating correct code. For CodeLlama, we even observed an improvement of 2% in terms of the PASS@1 under the HumanEval_CPP benchmark after fine-tuning. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2026.","Artificial intelligence (AI); Code generation; Common weakness enumerations (CWEs); Cybersecurity; Large language models (LLMs)","Artificial intelligence; C++ (programming language); Cybersecurity; Open source software; Open systems; Tuning; Artificial intelligence; C language; Codegeneration; Common weakness enumeration; Cyber security; Exploratory studies; Fine tuning; Language model; Large language model; Secure codes; Codes (symbols)","J. Li; Concordia University, Canada; email: l_unjie@encs.concordia.ca","","Springer","13823256","","ESENF","","English","Empir Software Eng","Article","Final","","Scopus","2-s2.0-105030611538"
"Raihan A.J.; Singh T.; Naveen S.","Raihan, Ayraf Jamil (60687372000); Singh, Tanishta (60609688500); Naveen, Soumyalatha (55813594800)","60687372000; 60609688500; 55813594800","Multimodal Approaches for Efficient Evaluation of Handwritten Answer Scripts via Large Language Models","2026","Proceedings of International Conference on Next-Gen Quantum and Advanced Computing: Algorithms, Security, and Beyond, NQComp 2026","","","","160","165","0","10.1109/NQComp68334.2026.11497673","https://www.scopus.com/pages/publications/105041480077?origin=resultslist","Manipal Academy of Higher Education, Manipal Institute of Technology Bengaluru, Manipal, India","Raihan A.J., Manipal Academy of Higher Education, Manipal Institute of Technology Bengaluru, Manipal, India; Singh T., Manipal Academy of Higher Education, Manipal Institute of Technology Bengaluru, Manipal, India; Naveen S., Manipal Academy of Higher Education, Manipal Institute of Technology Bengaluru, Manipal, India","Automated exam paper evaluation represents a significant advancement in modern education offering improved grading efficiency and reduced human biases. However, conventional methods often struggle with variations in handwriting styles, ink inconsistencies and obstructions in scanned images impeding accurate text extraction.This paper presents a novel methodology that leverages visual question-answering capabilities of large language models such as Gemini1.5Flash, Llama3.2Vision, Mistral Vision and Qwen-2VL for automated assessment. Instead of relying on traditional OCR techniques the system performs semantic embedding of handwritten responses, extracts vectorized answers and scores them against predefined answer keys. A specially devised regex-based answer fragmentation mechanism dynamically divides student responses into segments ensuring a valid, structured and contextual evaluation process.Here it shows that this approach achieves state-of-the-art performance as evidenced by the high scores obtained on various benchmarks including LiveCodeBench, SciCode, AIME, MATH-500 and Context Window. This paves the way to advances in AI education technology giving much more confident and contextual automated marking of tests. © 2026 IEEE.","Cosine similarity; Large Language Model; Llama 3.2 Vision; Similarity Scoring","Automation; Computational linguistics; Computer vision; Education computing; Grading; Learning systems; Conventional methods; Cosine similarity; Handwriting Styles; Human bias; Language model; Large language model; Llama 3.2 vision; Modern educations; Multi-modal approach; Similarity scoring; Benchmarking","A.J. Raihan; Manipal Academy of Higher Education, Manipal Institute of Technology Bengaluru, Manipal, India; email: ayraf.mitblr2022@learner.manipal.edu","","Institute of Electrical and Electronics Engineers Inc.","","979-833155935-9","","","English","Proc. Int. Conf. Next-Gen Quantum Adv. Comput.: Algorithms, Secur., Beyond, NQComp","Conference paper","Final","","Scopus","2-s2.0-105041480077"
"Zhao H.; Mao S.; Chen D.","Zhao, Hongbo (60690125700); Mao, Shouchun (60785056000); Chen, Dashuai (60785151300)","60690125700; 60785056000; 60785151300","Adaptive Test-Time Reasoning with Uncertainty-Guided Verification: Enhancing Intrinsic Reasoning Capabilities of Large Language Models","2026","Proceedings of 2026 International Conference on Computer Intelligence and Software Engineering, CICSE 2026","","","","413","418","0","10.1109/CICSE70286.2026.11620946","https://www.scopus.com/pages/publications/105046990206?origin=resultslist","Rocket Force University of Engineering, Xi’an, China; Yancheng Institute of Technology, Yancheng, China; Xi’an Jiaotong University, Xi’an, China","Zhao H., Rocket Force University of Engineering, Xi’an, China; Mao S., Yancheng Institute of Technology, Yancheng, China; Chen D., Xi’an Jiaotong University, Xi’an, China","Large Language Models (LLMs) have demonstrated remarkable capabilities across various tasks, yet complex multi-step reasoning remains a fundamental challenge. While test-time compute scaling has emerged as a promising paradigm—exemplified by systems like OpenAI’s o1 and DeepSeek-R1—existing approaches suffer from inefficient resource allocation, applying uniform computational budgets regardless of problem difficulty or step complexity. This paper proposes ATR-UV (Adaptive Test-Time Reasoning with Uncertainty-Guided Verification), a novel framework that dynamically allocates computational resources based on step-level uncertainty estimation. Our approach introduces three key innovations: (1) uncertainty-guided compute allocation that concentrates resources on challenging reasoning steps identified through entropy-based uncertainty quantification; (2) progressive verification that performs targeted validation only at critical decision points, reducing verification overhead by 60%; and (3) adaptive backtracking that intelligently selects rollback points based on confidence degradation patterns. Extensive experiments across six benchmarks—GSM8K, MATH, SVAMP, ASDiv, HumanEval, and BBH—demonstrate that ATR-UV achieves highly competitive performance among comparable methods, outperforming Best-of-N by 7.7% on GSM8K and MCTS by 6.5% on MATH with Llama-3.1-8B, while reducing average token consumption by 38.7%. Notably, our method shows even greater improvements on harder problems, achieving 24.2% relative improvement on problems requiring seven or more reasoning steps. These results establish that adaptive test-time computation guided by uncertainty signals can significantly enhance the intrinsic reasoning capabilities of LLMs. © 2026 IEEE.","Large Language Models; Process Reward Models; Reasoning; Test-Time Compute; Uncertainty Quantification","Budget control; Signal processing; Uncertainty analysis; Adaptive tests; Language model; Large language model; Process reward model; Reasoning; Reasoning capabilities; Reasoning with uncertainty; Test time; Test-time compute; Uncertainty quantifications; Benchmarking","H. Zhao; Rocket Force University of Engineering, Xi’an, China; email: humblezhao0318@163.com","","Institute of Electrical and Electronics Engineers Inc.","","979-831950477-7","","","English","Proc. Int. Conf. Comput. Intell. Softw. Eng., CICSE","Conference paper","Final","","Scopus","2-s2.0-105046990206"
"Wei Y.; Cassano F.; Liu J.; Ding Y.; Jain N.; Mueller Z.; de Vries H.; von Werra L.; Guha A.; Zhang L.","Wei, Yuxiang (57478263400); Cassano, Federico (57842762800); Liu, Jiawei (57219762550); Ding, Yifeng (58836454900); Jain, Naman (57225757758); Mueller, Zachary (59020361200); de Vries, Harm (57189098741); von Werra, Leandro (56156898400); Guha, Arjun (23984498600); Zhang, Lingming (57203347002)","57478263400; 57842762800; 57219762550; 58836454900; 57225757758; 59020361200; 57189098741; 56156898400; 23984498600; 57203347002","SelfCodeAlign: Self-Alignment for Code Generation","2024","Advances in Neural Information Processing Systems","37","","","","","8","","https://www.scopus.com/pages/publications/105000510231?origin=resultslist","University of Illinois, Urbana-Champaign, United States; Northeastern University, United States; University of California, Berkeley, United States; ServiceNow Research, United States; Hugging Face, United States; Roblox, United States; Cursor AI, United States","Wei Y., University of Illinois, Urbana-Champaign, United States; Cassano F., Northeastern University, United States, Cursor AI, United States; Liu J., University of Illinois, Urbana-Champaign, United States; Ding Y., University of Illinois, Urbana-Champaign, United States; Jain N., University of California, Berkeley, United States; Mueller Z., Hugging Face, United States; de Vries H., ServiceNow Research, United States; von Werra L., Hugging Face, United States; Guha A., Northeastern University, United States, Roblox, United States; Zhang L., University of Illinois, Urbana-Champaign, United States","Instruction tuning is a supervised fine-tuning approach that significantly improves the ability of large language models (LLMs) to follow human instructions. For programming tasks, most models are finetuned with costly human-annotated instruction-response pairs or those generated by large, proprietary LLMs, which may not be permitted. We propose SelfCodeAlign, the first fully transparent and permissive pipeline for self-aligning code LLMs without extensive human annotations or distillation. SelfCodeAlign employs the same base model for inference throughout the data generation process. It first extracts diverse coding concepts from high-quality seed snippets to generate new tasks. It then samples multiple responses per task, pairs each with test cases, and validates them in a sandbox environment. Finally, passing examples are selected for instruction tuning. In our primary experiments, we use SelfCodeAlign with CodeQwen1.5-7B to generate a dataset of 74k instruction-response pairs. Finetuning on this dataset leads to a model that achieves a 67.1 pass@1 on HumanEval+, surpassing CodeLlama-70BInstruct despite being ten times smaller. Across all benchmarks, this finetuned model consistently outperforms the original version trained with OctoPack, the previous state-of-the-art method for instruction tuning without human annotations or distillation. Additionally, we show that SelfCodeAlign is effective across LLMs of various sizes, from 3B to 33B, and that the base models can benefit more from alignment with their own data distribution. We further validate each component's effectiveness in our pipeline, showing that SelfCodeAlign outperforms both direct distillation from GPT-4o and leading GPT-3.5-based distillation methods, such as OSS-Instruct and Evol-Instruct. SelfCodeAlign has also led to the creation of StarCoder2-Instruct, the first fully transparent, permissively licensed, and self-aligned code LLM that achieves state-of-the-art coding performance. Overall, SelfCodeAlign shows for the first time that a strong instruction-tuned code LLM can result from self-alignment rather than distillation. © 2024 Neural information processing systems foundation. All rights reserved.","","","","Globerson A.; Mackey L.; Belgrave D.; Fan A.; Paquet U.; Tomczak J.; Zhang C.","Neural information processing systems foundation","10495258","","","","English","Adv. neural inf. proces. syst.","Conference paper","Final","","Scopus","2-s2.0-105000510231"
"Liang Y.; Ying R.; Taniguchi T.; Gan C.; Cui Z.","Liang, Yunhao (59522297000); Ying, Ruixuan (57226782957); Taniguchi, Takuya (57198842958); Gan, Chengguang (57851558000); Cui, Zhe (56472234700)","59522297000; 57226782957; 57198842958; 57851558000; 56472234700","RECODE: Leveraging Reliable Self-generated Tests and Fine-Grained Execution Feedback to Enhance LLM-Based Code Generation","2025","Lecture Notes in Computer Science","15864 LNAI","","","510","521","1","10.1007/978-981-95-0014-7_43","https://www.scopus.com/pages/publications/105027775848?origin=resultslist","Chengdu Institute of Computer Applications, Chinese Academy of Sciences, Chengdu, 610041, China; University of Chinese Academy of Sciences, Beijing, 101408, China; Institute of Multidisciplinary Research for Advanced Materials (IMRAM), Tohoku University, Sendai, 980-8577, Japan; Yokohama National University, Yokohama, 240-0067, Japan","Liang Y., Chengdu Institute of Computer Applications, Chinese Academy of Sciences, Chengdu, 610041, China, University of Chinese Academy of Sciences, Beijing, 101408, China; Ying R., Institute of Multidisciplinary Research for Advanced Materials (IMRAM), Tohoku University, Sendai, 980-8577, Japan; Taniguchi T., Institute of Multidisciplinary Research for Advanced Materials (IMRAM), Tohoku University, Sendai, 980-8577, Japan; Gan C., Yokohama National University, Yokohama, 240-0067, Japan; Cui Z., Chengdu Institute of Computer Applications, Chinese Academy of Sciences, Chengdu, 610041, China, University of Chinese Academy of Sciences, Beijing, 101408, China","Large language models (LLMs) have demonstrated remarkable potential in automated code generation, yet their performance on complex tasks is constrained by unreliable self-generated test cases and coarse refinement feedback. To address these challenges, we propose RECODE, a novel framework that enhances LLM-based code generation through three key innovations: (1) multi-candidate cross-validation to select reliable self-generated test cases via majority voting, (2) static common pattern extraction to enhance code generation by leveraging syntactic consensus from diverse candidates, and (3) Control Flow Graph (CFG)-based in-execution debugging that decomposes code into basic blocks and tracks variable state changes during execution, providing fine-grained feedback to the LLM for iterative code refinement. We evaluate RECODE on the HumanEval and MBPP benchmarks using five LLMs: GPT-3.5-turbo, GPT-4o-mini, DeepSeek-V3, Claude-3.5-sonnet, and Qwen2.5-Coder-7B-Instruct. Experimental results show that RECODE significantly improves Pass@1 by an average of 5.82% over the baseline. The static pattern enhancement achieves up to 5.40% improvement on HumanEval, while CFG-based debugging yields gains of up to 13.9%. Additionally, RECODE reduces bias in self-generated test cases while maintaining high test coverage. Its combination of static analysis and dynamic execution insights enhances error localization and repair. By demonstrating scalability across diverse LLMs, RECODE establishes itself as a robust solution for autonomous code generation in real-world programming environments. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2025.","Code Generation; Self-Debugging; Test Generation","Benchmarking; Decision making; Genetic algorithms; Learning algorithms; Nearest neighbor search; NP-hard; Production control; Scheduling algorithms; Chip flow; Chip-manufacturing; Flow-shop scheduling; Integrated optimization; Learning-based algorithms; Optimization problems; Production Planning; Production scheduling problems; Q-learning; Reinforcement learnings; Reinforcement learning","Y. Liang; Chengdu Institute of Computer Applications, Chinese Academy of Sciences, Chengdu, 610041, China; email: liangyunhao22@mails.ucas.ac.cn; R. Ying; Institute of Multidisciplinary Research for Advanced Materials (IMRAM), Tohoku University, Sendai, 980-8577, Japan; email: ying.ruixuan.s5@dc.tohoku.ac.jp","Huang D.-S.; Zhang C.; Zhang Q.; Pan Y.","Springer Science and Business Media Deutschland GmbH","03029743","978-981950013-0","","","English","Lect. Notes Comput. Sci.","Conference paper","Final","","Scopus","2-s2.0-105027775848"
